rho,mu_p,char_height_px,mean_cer,mean_char_acc,n_eval,qe_total,mtf_nyquist,aperture_f50_cpp
0.1,16,6,1.0,0.0,4,0.085,0.959381,1.907975
0.1,16,12,1.03571425,-0.03571425,4,0.085,0.959381,1.907975
0.1,128,6,1.0,0.0,4,0.085,0.959381,1.907975
0.1,128,12,0.3214285,0.6785715,4,0.085,0.959381,1.907975
0.1,2048,6,0.42857125,0.5714287499999999,4,0.085,0.959381,1.907975
0.1,2048,12,0.0,1.0,4,0.085,0.959381,1.907975
0.2,16,6,1.0,0.0,4,0.17,0.919759,1.349142
0.2,16,12,1.0,0.0,4,0.17,0.919759,1.349142
0.2,128,6,0.85714275,0.14285725,4,0.17,0.919759,1.349142
0.2,128,12,0.0,1.0,4,0.17,0.919759,1.349142
0.2,2048,6,0.28571425,0.7142857499999999,4,0.17,0.919759,1.349142
0.2,2048,12,0.0,1.0,4,0.17,0.919759,1.349142
0.3,16,6,1.0,0.0,4,0.255,0.881116,1.10157
0.3,16,12,0.7142854999999999,0.2857145,4,0.255,0.881116,1.10157
0.3,128,6,0.392857,0.607143,4,0.255,0.881116,1.10157
0.3,128,12,0.0,1.0,4,0.255,0.881116,1.10157
0.3,2048,6,0.03571425,0.9642857499999999,4,0.255,0.881116,1.10157
0.3,2048,12,0.0,1.0,4,0.255,0.881116,1.10157
0.4,16,6,1.0,0.0,4,0.34,0.843436,0.953987
0.4,16,12,0.60714275,0.39285725,4,0.34,0.843436,0.953987
0.4,128,6,0.3214285,0.6785715,4,0.34,0.843436,0.953987
0.4,128,12,0.0,1.0,4,0.34,0.843436,0.953987
0.4,2048,6,0.0,1.0,4,0.34,0.843436,0.953987
0.4,2048,12,0.0,1.0,4,0.34,0.843436,0.953987
0.5,16,6,1.0,0.0,4,0.425,0.8067,0.853272
0.5,16,12,0.35714275,0.64285725,4,0.425,0.8067,0.853272
0.5,128,6,0.142857,0.857143,4,0.425,0.8067,0.853272
0.5,128,12,0.0,1.0,4,0.425,0.8067,0.853272
0.5,2048,6,0.0,1.0,4,0.425,0.8067,0.853272
0.5,2048,12,0.0,1.0,4,0.425,0.8067,0.853272
0.6,16,6,0.9285715,0.0714285,4,0.51,0.770893,0.778927
0.6,16,12,0.3214285,0.6785715,4,0.51,0.770893,0.778927
0.6,128,6,0.0,1.0,4,0.51,0.770893,0.778927
0.6,128,12,0.0,1.0,4,0.51,0.770893,0.778927
0.6,2048,6,0.0,1.0,4,0.51,0.770893,0.778927
0.6,2048,12,0.0,1.0,4,0.51,0.770893,0.778927
0.7,16,6,1.0,0.0,4,0.595,0.735998,0.721147
0.7,16,12,0.35714275,0.64285725,4,0.595,0.735998,0.721147
0.7,128,6,0.0,1.0,4,0.595,0.735998,0.721147
0.7,128,12,0.0,1.0,4,0.595,0.735998,0.721147
0.7,2048,6,0.0,1.0,4,0.595,0.735998,0.721147
0.7,2048,12,0.0,1.0,4,0.595,0.735998,0.721147
0.8,16,6,0.89285725,0.10714275000000001,4,0.68,0.701998,0.674571
0.8,16,12,0.3214285,0.6785715,4,0.68,0.701998,0.674571
0.8,128,6,0.0714285,0.9285715,4,0.68,0.701998,0.674571
0.8,128,12,0.0,1.0,4,0.68,0.701998,0.674571
0.8,2048,6,0.0,1.0,4,0.68,0.701998,0.674571
0.8,2048,12,0.0,1.0,4,0.68,0.701998,0.674571
0.9,16,6,0.9285715,0.0714285,4,0.765,0.668877,0.635992
0.9,16,12,0.5357142500000001,0.46428575,4,0.765,0.668877,0.635992
0.9,128,6,0.0,1.0,4,0.765,0.668877,0.635992
0.9,128,12,0.0,1.0,4,0.765,0.668877,0.635992
0.9,2048,6,0.0,1.0,4,0.765,0.668877,0.635992
0.9,2048,12,0.0,1.0,4,0.765,0.668877,0.635992
1.0,16,6,0.9285715,0.0714285,4,0.85,0.63662,0.603355
1.0,16,12,0.5357142500000001,0.46428575,4,0.85,0.63662,0.603355
1.0,128,6,0.0,1.0,4,0.85,0.63662,0.603355
1.0,128,12,0.0,1.0,4,0.85,0.63662,0.603355
1.0,2048,6,0.0,1.0,4,0.85,0.63662,0.603355
1.0,2048,12,0.0,1.0,4,0.85,0.63662,0.603355
